generation,training_seeds,best_fitness,mean_fitness,worst_fitness,best_mean_score,best_mean_lines,best_mean_pieces,best_chromosome_id,monitoring_seeds,monitoring_fitness,monitoring_task_return_stddev,monitoring_mean_score,monitoring_mean_lines,monitoring_mean_pieces,elite_chromosome_id,elite_reputation,elite_observations,reproduction_mutation_stddev,population_diversity,gene_lines_cleared,gene_aggregate_height,gene_holes,gene_bumpiness,gene_max_height,gene_row_transitions,gene_column_transitions,gene_wells,gene_landing_height,gene_use_hold,gene_hold_store_i,gene_hold_retrieve_i,gene_i_well_match
0,"[0, 1, 2]",122.0,13.305555555555555,0.0,75466.66666666667,114.0,300.0,0149edd3f2756870,"[32, 33, 34, 35, 36]",121.2,3.63318042491699,76060.0,114.4,300.0,0149edd3f2756870,1.0,1,0.3,1.004074362431086,0.2611063467315331,0.3793739457317577,-0.41431724335443065,-0.06457727426900045,-0.34597506748119783,-0.2084360804399259,-0.24237431584887476,0.12756000958123082,-0.12997386008841855,-0.27754603883871776,0.0031571915382502752,-0.39990858376226773,-0.3464777327935381
1,"[3, 4, 5]",122.33333333333333,37.666666666666664,0.3333333333333333,76633.33333333333,115.0,300.0,aeb3c7f7addaa67f,"[32, 33, 34, 35, 36]",120.6,8.35463942968217,73240.0,112.2,300.0,aeb3c7f7addaa67f,1.0,1,0.229417347399519,0.8772129628232682,0.29357888465393317,-0.025875475654979288,-0.4173601174645713,0.0035788094972147104,-0.3951987682036141,-0.36815360483720444,-0.2565191172699426,0.07060846625884329,-0.11798348866016842,-0.32745053151502856,0.09022261900854243,-0.3452424761698439,-0.35770997193581194
2,"[6, 7, 8]",129.0,87.1111111111111,14.333333333333334,81666.66666666667,116.33333333333333,300.0,c965db91e8e54dd9,"[32, 33, 34, 35, 36]",127.6,3.1304951684997055,80260.0,115.8,300.0,c965db91e8e54dd9,1.0,1,0.17544106429277198,0.48830093588997425,0.24473872195518978,-0.021570798081228477,-0.6527634216291255,0.0029834341236832855,-0.32945299033488246,-0.30690709530170657,-0.21384426537257134,0.058861950551299405,-0.09835560299420668,-0.27297543786571515,0.07521306749846617,-0.2878074916118483,-0.29820087866807876
3,"[9, 10, 11]",131.0,114.6388888888889,55.0,83866.66666666667,117.66666666666667,300.0,4127967c0e910c7a,"[32, 33, 34, 35, 36]",121.4,13.63084736911099,74080.0,111.2,295.2,4127967c0e910c7a,1.0,1,0.13416407864998736,0.1353019324519291,0.21907893186674654,0.010917264050213085,-0.5769276252870931,-0.0002625982615623403,-0.29574230055405587,-0.2772457051294649,-0.19266048995810445,0.2013456040619303,-0.09010892661378055,-0.24617723265521463,0.06887074307894585,-0.2553390786393983,-0.48825075760197384
4,"[12, 13, 14]",127.0,121.25,108.33333333333333,80266.66666666667,116.66666666666667,300.0,7df4b9b4fef5a9ae,"[32, 33, 34, 35, 36]",125.2,5.215361924162119,78100.0,115.0,300.0,8046563cb67269cf,0.9090909090909091,1,0.10259855680060183,0.07775022016930036,0.3386325843951251,-0.021938696306822252,-0.66389655187519,0.003034317735691789,-0.33507193730681867,-0.31214151339594925,-0.21749146124764826,0.05986586366945411,-0.10003309548579249,-0.27763113854231064,0.07649585518068133,-0.29271615864761913,0.06976251239850129
5,"[15, 16, 17]",132.0,121.6388888888889,111.33333333333333,82600.0,115.33333333333333,300.0,b28e36bcb90bb83e,"[32, 33, 34, 35, 36]",119.6,4.827007354458868,70820.0,109.2,300.0,b28e36bcb90bb83e,1.0,1,0.07845962916070982,0.0760415431381537,0.35996628921195045,-0.019678375424631703,-0.6357531106193574,0.24539038022790047,-0.3209277530058983,-0.29770751084164077,-0.20831979052910396,0.05971511276177501,-0.09583433329683434,-0.26592655690709016,0.07400416678989274,-0.2803202550690731,0.055623251529340785
6,"[18, 19, 20]",129.0,119.91666666666667,104.0,81700.0,115.33333333333333,300.0,6f487cc70d35a8f7,"[32, 33, 34, 35, 36]",124.2,4.8166378315169185,78080.0,113.8,300.0,6f487cc70d35a8f7,1.0,1,0.06,0.04771141802184731,0.3580680588175627,0.02163963075343375,-0.6324005581329948,0.2440963493916832,-0.3192353867110099,-0.29613759315030835,-0.20722124610984585,0.05940021371304228,-0.1268657886742592,-0.2645242315001721,0.07361391647223259,-0.2788420265674555,0.08054737502255742
7,"[21, 22, 23]",128.66666666666666,120.8888888888889,98.0,82233.33333333333,118.0,300.0,8e713eb4632afee2,"[32, 33, 34, 35, 36]",124.6,4.505552130427524,78140.0,115.4,300.0,8e713eb4632afee2,1.0,1,,0.047713633255720075,0.3186166888020384,0.0026831733349204924,-0.6503251754907595,0.1521102195770022,-0.32825926837989805,-0.30502148773001375,-0.251601359316599,0.061402901924224755,-0.11751316306246183,-0.25176573167999644,0.14290128773231076,-0.2867402746791529,-0.06865819318827078
