episode,seed,steps,score,lines_removed,pieces_placed,task_return,total_reward,termination_reason,terminated,truncated,game_over,horizon_completed,epsilon,last_loss,replay_size,learn_steps
59,58,60,1000,9,60,10.0,10.0,game_over,True,False,True,False,0.3507218000182884,1.6127982139587402,2095,1096
60,59,40,100,1,40,1.0,1.0000000000000036,game_over,True,False,True,False,0.34377532362359225,1.9236814975738525,2135,1136
61,60,43,200,2,43,2.0,2.0000000000000036,game_over,True,False,True,False,0.33646123376985887,2.3607561588287354,2178,1179
62,61,80,2400,17,80,17.0,17.000000000000007,game_over,True,False,True,False,0.3232651663444503,1.9410037994384766,2258,1259
63,62,77,2200,15,77,17.0,17.0,game_over,True,False,True,False,0.3110529971967706,1.5982977151870728,2335,1336
64,63,56,800,7,56,8.0,8.00000000000001,game_over,True,False,True,False,0.30246219798399054,2.5794801712036133,2391,1392
65,64,94,3400,21,94,22.0,22.0,game_over,True,False,True,False,0.28857197947265395,1.494288444519043,2485,1486
66,65,51,500,5,51,5.0,4.9999999999999964,game_over,True,False,True,False,0.28130462961165603,2.0072803497314453,2536,1537
67,66,49,300,3,49,3.0,3.0,game_over,True,False,True,False,0.27449472561111954,2.6419057846069336,2585,1586
68,67,73,1600,13,73,13.0,13.0,game_over,True,False,True,False,0.26465389564669795,2.4233851432800293,2658,1659
69,68,46,400,4,46,4.0,3.9999999999999964,game_over,True,False,True,False,0.25863483574947954,1.5555716753005981,2704,1705
70,69,62,900,9,62,9.0,9.000000000000004,game_over,True,False,True,False,0.250738211728992,1.3012806177139282,2766,1767
71,70,47,400,4,47,4.0,3.999999999999993,game_over,True,False,True,False,0.24491312032327348,0.7989604473114014,2813,1814
72,71,64,1000,10,64,10.0,10.000000000000007,game_over,True,False,True,False,0.23719807084571803,2.100684642791748,2877,1878
73,72,66,1300,11,66,12.0,12.000000000000018,game_over,True,False,True,False,0.22949638581901383,1.3379566669464111,2943,1944
74,73,135,9800,38,135,41.0,41.0,game_over,True,False,True,False,0.21451301246148755,1.2855318784713745,3078,2079
75,74,106,5100,26,106,27.0,27.0,game_over,True,False,True,False,0.20343715697679116,2.5289859771728516,3184,2185
76,75,45,300,3,45,3.0,3.000000000000007,game_over,True,False,True,False,0.19890981268121197,1.9050863981246948,3229,2230
77,76,58,800,8,58,8.0,7.999999999999993,game_over,True,False,True,False,0.19322286564451027,2.921419143676758,3287,2288
78,77,58,800,8,58,8.0,8.0,game_over,True,False,True,False,0.18769851172557542,2.5149178504943848,3345,2346
79,78,124,7700,33,124,35.0,35.000000000000014,game_over,True,False,True,False,0.17641188372981928,1.1078177690505981,3469,2470
80,79,108,5400,27,108,29.0,29.0,game_over,True,False,True,False,0.1671360255101147,2.807363748550415,3577,2578
81,80,132,9200,37,132,40.0,40.000000000000014,game_over,True,False,True,False,0.15645860956583554,1.5825695991516113,3709,2710
82,81,95,3800,22,95,24.0,24.0,game_over,True,False,True,False,0.14919879635671626,1.8059556484222412,3804,2805
83,82,300,67700,109,300,113.0,112.99999999999987,horizon_completed,True,False,False,True,0.1284117769595095,2.16528058052063,4104,3105
84,83,139,10300,39,139,41.0,41.0,game_over,True,False,True,False,0.11978814535144454,2.369709014892578,4243,3244
85,84,300,72400,113,300,120.0,119.99999999999987,horizon_completed,True,False,False,True,0.10309874462047249,1.6813268661499023,4543,3544
86,85,300,80900,118,300,126.0,125.99999999999989,horizon_completed,True,False,False,True,0.08873458313535232,0.8270980715751648,4843,3844
87,86,300,80000,117,300,125.0,124.9999999999999,horizon_completed,True,False,False,True,0.07637169854191633,0.7966995239257812,5143,4144
88,87,300,77000,112,300,126.0,125.99999999999996,horizon_completed,True,False,False,True,0.06573126431754878,2.0560860633850098,5443,4444
89,88,300,85800,118,300,133.0,132.99999999999991,horizon_completed,True,False,False,True,0.056573301252585265,1.2009310722351074,5743,4744
90,89,300,81000,119,300,128.0,127.99999999999986,horizon_completed,True,False,False,True,0.048691265075229875,1.0988614559173584,6043,5044
91,90,300,86400,118,300,135.0,134.9999999999998,horizon_completed,True,False,False,True,0.041907388151897124,1.3239681720733643,6343,5344
92,91,300,80500,115,300,128.0,127.99999999999974,horizon_completed,True,False,False,True,0.03606867020194128,1.4839062690734863,6643,5644
93,92,300,88700,117,300,140.0,139.99999999999994,horizon_completed,True,False,False,True,0.03104342760329039,1.3813430070877075,6943,5944
94,93,300,85000,113,300,137.0,136.9999999999998,horizon_completed,True,False,False,True,0.02671832346369298,0.9308770895004272,7243,6244
95,94,300,89800,119,300,139.0,138.99999999999983,horizon_completed,True,False,False,True,0.022995811475239943,0.7338703274726868,7543,6544
96,95,300,89900,118,300,138.0,137.99999999999977,horizon_completed,True,False,False,True,0.019791935902092224,0.8832502365112305,7843,6844
97,96,300,89100,119,300,143.0,142.99999999999994,horizon_completed,True,False,False,True,0.017034438083400546,0.8699990510940552,8143,7144
98,97,300,92100,119,300,145.0,144.99999999999986,horizon_completed,True,False,False,True,0.014661126746400415,0.8990049362182617,8443,7444
99,98,300,96100,119,300,147.0,146.99999999999994,horizon_completed,True,False,False,True,0.01261847537451075,0.6520280838012695,8743,7744
100,99,300,89700,118,300,143.0,142.99999999999983,horizon_completed,True,False,False,True,0.010860414996154852,0.9037255644798279,9043,8044
101,100,300,95700,118,300,152.0,152.0,horizon_completed,True,False,False,True,0.01,0.7433573007583618,9343,8344
102,101,300,102400,119,300,157.0,156.99999999999997,horizon_completed,True,False,False,True,0.01,1.3016648292541504,9643,8644
103,102,300,94800,118,300,152.0,151.99999999999997,horizon_completed,True,False,False,True,0.01,0.37177181243896484,9943,8944
104,103,300,97800,118,300,154.0,153.99999999999986,horizon_completed,True,False,False,True,0.01,0.7066236138343811,10243,9244
